name,quantity,values,values-de-rDE,values-en-rCA,values-en-rGB,values-fr,values ca-fr,values-nl-rNL,values-sv,values-it,values-fr-rBE,values-nl-rBE,values-en-rBE,values-fr-rCH,values-de-rCH,values-fr-rLU,values-de-rLU,values-en-rLU,values-de-rAT,values-en-rIE,values-es,values-fi,values-pl,values-cs,values-hu
days_ago,one,%d day ago,%d Tag,%d day ago,%d day ago,il y a %d jour,il y a %d jour,%d dag geleden,%d dag sedan,%d giorno fa,il y a %d jour,%d dag geleden,%d day ago,il y a %d jour,%d Tag,il y a %d jour,%d Tag,%d day ago,%d Tag,%d day ago,hace %d día,%d päivä sitten,%d dzień temu,před %d dnem,%d napja
,other,%d days ago,%d Tagen,%d days ago,%d days ago,il y a %d jours,il y a %d jours,%d dagen geleden,%d dagar sedan,%d giorni fa,il y a %d jours,%d dagen geleden,%d days ago,il y a %d jours,%d Tagen,il y a %d jours,%d Tagen,%d days ago,%d Tagen,%d days ago,hace %d días,%d päivää sitten,%d dni temu,před %d dny,%d napja
hours_ago,one,%d hour ago,%d Stunde,%d hour ago,%d hour ago,il y a %d heure,il y a %d heure,%d uur geleden,%d timme sedan,%d ora fa,il y a %d heure,%d uur geleden,%d hour ago,il y a %d heure,%d Stunde,il y a %d heure,%d Stunde,%d hour ago,%d Stunde,%d hour ago,hace %d hora,%d tunti sitten,%d godzina temu,před %d hodinou,%d órája
,other,%d hours ago,%d Stunden,%d hours ago,%d hours ago,il y a %d heures,il y a %d heures,%d uur geleden,%d timmar sedan,%d ore fa,il y a %d heures,%d uur geleden,%d hours ago,il y a %d heures,%d Stunden,il y a %d heures,%d Stunden,%d hours ago,%d Stunden,%d hours ago,hace %d horas,%d tuntia sitten,%d godzin temu,před %d hodinami,%d órája
minutes_ago,one,%d minute ago,%d Minute,%d minute ago,%d minute ago,il y a %d minute,il y a %d minute,%d minuut geleden,%d minut sedan,%d minuto fa,il y a %d minute,%d minuut geleden,%d minute ago,il y a %d minute,%d Minute,il y a %d minute,%d Minute,%d minute ago,%d Minute,%d minute ago,hace %d minuto,%d minuutti sitten,%d minuta temu,před %d minutou,%d perce
,other,%d minutes ago,%d Minuten,%d minutes ago,%d minutes ago,il y a %d minutes,il y a %d minutes,%d minuten geleden,%d minuter sedan,%d minuti fa,il y a %d minutes,%d minuten geleden,%d minutes ago,il y a %d minutes,%d Minuten,il y a %d minutes,%d Minuten,%d minutes ago,%d Minuten,%d minutes ago,hace %d minutos,%d minuuttia sitten,%d minut temu,před %d minutami,%d perce
hours_medium,one,%d hr,%d Std.,%d hr,%d hr,il y a %d h,il y a %d h,%d uur,%d timme,%d h,il y a %d h,%d uur,%d hr,il y a %d h,%d Std.,il y a %d h,%d Std.,%d hr,%d Std.,%d hr,%d h,%d h,%d godz.,%d h,%d ó
,other,%d hrs,%d Std.,%d hrs,%d hrs,il y a %d h,il y a %d h,%d uur,%d timmar,%d h,il y a %d h,%d uur,%d hrs,il y a %d h,%d Std.,il y a %d h,%d Std.,%d hrs,%d Std.,%d hrs,%d h,%d h,%d godz.,%d h,%d ó
minutes_medium,one,%d min,%d Min.,%d min,%d min,il y a %d min,il y a %d min,%d min,%d minut,%d min,il y a %d min,%d min,%d min,il y a %d min,%d Min.,il y a %d min,%d Min.,%d min,%d Min.,%d min,%d min,%d min,%d min,%d min,%d p
,other,%d mins,%d Min.,%d mins,%d mins,il y a %d min,il y a %d min,%d min,%d minuter,%d min,il y a %d min,%d min,%d mins,il y a %d min,%d Min.,il y a %d min,%d Min.,%d mins,%d Min.,%d mins,%d min,%d min,%d min,%d min,%d p